name,accident_loc,types_str
Al Khazraji Auditors & Accountants,شارع هزاع بن زايد الأول(11),accounting_finance_point_of_interest_establishment
Analytica Management Consultancy Ltd.,شارع هزاع بن زايد الأول(11),accounting_finance_point_of_interest_establishment
Totoodo Mobiles Service Center مركز خدمة توتودو للهواتف,شارع هزاع بن زايد الأول(11),airport_point_of_interest_establishment
Dalah Al Musk Sweet,شارع هزاع بن زايد الأول(11),bakery_food_point_of_interest_store_establishment
City Pastry,شارع هزاع بن زايد الأول(11),bakery_food_point_of_interest_store_establishment
Walayem,شارع هزاع بن زايد الأول(11),meal_delivery_bakery_cafe_restaurant_food_point_of_interest_store_establishment
Emirates Development Bank Abu Dhabi,شارع هزاع بن زايد الأول(11),bank_finance_point_of_interest_establishment
Real Estate Bank,شارع هزاع بن زايد الأول(11),bank_finance_point_of_interest_establishment
الإمارات للوساطة المصرفية 2,شارع هزاع بن زايد الأول(11),bank_finance_point_of_interest_establishment
Dunia Finance Llc Defense Road,شارع هزاع بن زايد الأول(11),bank_finance_point_of_interest_establishment
Sham Youth Salon,شارع هزاع بن زايد الأول(11),beauty_salon_point_of_interest_establishment
JOUD MAHAL BEAUTY CENTRE,شارع هزاع بن زايد الأول(11),beauty_salon_point_of_interest_establishment
Orchidia beauty center,شارع هزاع بن زايد الأول(11),beauty_salon_point_of_interest_establishment
Au Bistrot de Paris Cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
Bloom room cafe and flowers,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
RHYTHM Coffe and Sweets,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
Neuchatel Chocolate And Flowers,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
Al Ghalia Coffee Shop,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
U Turn Cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
Mayobkom Cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
Walayem,شارع هزاع بن زايد الأول(11),meal_delivery_bakery_cafe_restaurant_food_point_of_interest_store_establishment
Retailer Cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
Breath cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
MOHALA & KARAK محلا وكرك,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_store_establishment
Gava Tea,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
House of Tea Cafeteria,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
Mammu Tea,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
le papillon cafe,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
Mansour,شارع هزاع بن زايد الأول(11),cafe_food_point_of_interest_establishment
Phantom Rent A Car فانتوم لتأجير السيارات,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Harakat Rent a Car حركات لتأجير السيارات,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Syed Abbas Transport & Jumaira Car Rental,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Mirage rent a car - ميراج لتأجير السيارات,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
"PICNIC Rent A Car, Abu Dhabi",شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
4All Rent A Car LLC,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
sakab rent a car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Gold Stone Rent a Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
اوبرا لتأجير السيارات,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Casanova Rent a Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Jumaira Rent A Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Opera Car Rental,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Platinum One Car Rental بلاتينيوم ون لتأجير السيارات,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Spider Rent A Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Al Areef Rent A Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
داماسكو لتأجير السيارات Damasco Rent A Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Ghost Rent a Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Veet Rent A Car,شارع هزاع بن زايد الأول(11),car_rental_point_of_interest_establishment
Harakat Car Care حركات للعناية بالسيارات,شارع هزاع بن زايد الأول(11),car_wash_car_repair_point_of_interest_establishment
SUNTEK WINDOW FILMS,شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_establishment
Titanium Insulation Materials Fixing,شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_establishment
Al Kahloot Tyre Fixing & Balancing,شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_establishment
Ducati Abu Dhabi,شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_store_establishment
Bangash Auto Parts LLC,شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_store_establishment
"Abu Dhabi, United Arab Emirates",شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_establishment
TintX Auto Accessories تنتكس لزينة السيارات,شارع هزاع بن زايد الأول(11),car_repair_furniture_store_home_goods_store_point_of_interest_store_establishment
"CAR Batteries Replacement in Abu Dhabi, Honest auto accessories & battery Trading Abu Dhabi,Car Battery Shop Abu Dhabi, اونيست لتجارة زينة السيارات والبطاريات",شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_store_establishment
"Car Battery Replacement Services in Abu Dhabi (Audi, BMW, Chevrolet, Ford, GMC, Honda, Hyundai, Kia, Lexus, Mercedes, Nissan, Porsche, Range Rover, Renault, Toyota) Onsite Delivery & Change Within 30 Minutes خدمة تبديل بطاريات السيارات",شارع هزاع بن زايد الأول(11),car_repair_point_of_interest_store_establishment
Harakat Car Care حركات للعناية بالسيارات,شارع هزاع بن زايد الأول(11),car_wash_car_repair_point_of_interest_establishment
Aroosi Iqbal Couture,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
"AL TELAL GENTS FASHION LLC, متجر كندورة في أبو ظبي",شارع هزاع بن زايد الأول(11),point_of_interest_clothing_store_store_establishment
Patchouli Boutique,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Cage Doree,شارع هزاع بن زايد الأول(11),point_of_interest_clothing_store_store_establishment
Tactical-Trading (Abu Dhabi Branch),شارع هزاع بن زايد الأول(11),point_of_interest_clothing_store_store_establishment
Talal Tailors,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
أم عليوي للخياطة النسائية,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Thob AlSultan ثوب السلطان,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Lace Art Ladies Tailoring & Fashion Design,شارع هزاع بن زايد الأول(11),point_of_interest_clothing_store_store_establishment
Akram tent and tarpaulin shop,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Al Mesk Laundry,شارع هزاع بن زايد الأول(11),clothing_store_point_of_interest_store_establishment
Dynamic Medical Equipment Center Abudhabi,شارع هزاع بن زايد الأول(11),doctor_health_point_of_interest_establishment
Verla RG Sweets,شارع هزاع بن زايد الأول(11),electronics_store_food_point_of_interest_store_establishment
Al Karam Mobile Br. 6,شارع هزاع بن زايد الأول(11),electronics_store_point_of_interest_store_establishment
Embassy of Sri Lanka,شارع هزاع بن زايد الأول(11),embassy_point_of_interest_establishment
Viola Flowers AbuDhabi,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Ecru Gifts & Flowers,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Shades Flowers,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Vivid Flowers,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
Crystal flower boutique,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
mashmom flowers,شارع هزاع بن زايد الأول(11),florist_point_of_interest_store_establishment
TintX Auto Accessories تنتكس لزينة السيارات,شارع هزاع بن زايد الأول(11),car_repair_furniture_store_home_goods_store_point_of_interest_store_establishment
Salon Komse,شارع هزاع بن زايد الأول(11),hair_care_point_of_interest_establishment
Sport Saloon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
San Francisco Saloon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
صالون 1982 الشامي للحلاقه والعنايه بلرجال,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
Fame Hair Gents Salon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
Steve style plus gents salon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
Stunning Gents Saloon,شارع هزاع بن زايد الأول(11),hair_care_point_of_interest_establishment
Different Hair Men's Saloon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
Arafa Saloon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
صالون نور الشام Nour alsham salon,شارع هزاع بن زايد الأول(11),hair_care_health_point_of_interest_establishment
Nour Al Shaam Gens saloon,شارع هزاع بن زايد الأول(11),hair_care_point_of_interest_establishment
MISTER BALLOON,شارع هزاع بن زايد الأول(11),home_goods_store_food_point_of_interest_store_establishment
Interlight,شارع هزاع بن زايد الأول(11),home_goods_store_general_contractor_point_of_interest_store_establishment
صالون الفيم,شارع هزاع بن زايد الأول(11),home_goods_store_point_of_interest_store_establishment
TintX Auto Accessories تنتكس لزينة السيارات,شارع هزاع بن زايد الأول(11),car_repair_furniture_store_home_goods_store_point_of_interest_store_establishment
CICON BUILDING MATERIALS,شارع هزاع بن زايد الأول(11),home_goods_store_point_of_interest_store_establishment
Advance Care Medical Equipment,شارع هزاع بن زايد الأول(11),shoe_store_hospital_health_point_of_interest_store_establishment
Primavera Medical Rehabilitation,شارع هزاع بن زايد الأول(11),hospital_health_point_of_interest_establishment
Marina Insurance Brokers,شارع هزاع بن زايد الأول(11),insurance_agency_point_of_interest_establishment
Arabian Gulf Maint & Cleaning LLC,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
Wash Avenue Laundry,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
Laundry Chief,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
Al Badar,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
Siddiqa Laundry,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
bubble zone laundry,شارع هزاع بن زايد الأول(11),laundry_point_of_interest_establishment
ADVANCED ADVOCATES,شارع هزاع بن زايد الأول(11),lawyer_point_of_interest_establishment
African + Eastern - Salam,شارع هزاع بن زايد الأول(11),liquor_store_food_point_of_interest_store_establishment
احمد علي المعمري للمحاماة والاستشارات القانونية,شارع هزاع بن زايد الأول(11),local_government_office_point_of_interest_establishment
Oriental furniture hotel apartments,شارع هزاع بن زايد الأول(11),lodging_point_of_interest_establishment
Nour al,شارع هزاع بن زايد الأول(11),lodging_point_of_interest_establishment
قافا هوتيل,شارع هزاع بن زايد الأول(11),lodging_point_of_interest_establishment
Walayem,شارع هزاع بن زايد الأول(11),meal_delivery_bakery_cafe_restaurant_food_point_of_interest_store_establishment
Hamda Khalifa Khalfan Mosque,شارع هزاع بن زايد الأول(11),mosque_place_of_worship_point_of_interest_establishment
